board,mark,label,move_num
000000000000000000000000000000000000000000,1,W,1
000000000000000000000000000000000000001000,2,L,2
000000000000000000000000000000000000201000,1,W,3
000000000000000000000000000000010000201000,2,L,4
000000000000000000000000000000010000201020,1,W,5
000000000000000000000000100000010000201020,2,L,6
000000000000000002000000100000010000201020,1,W,7
000000000000000002000000100001010000201020,2,L,8
000000000020000002000000100001010000201020,1,W,9
000000000020000002000000100001010000201120,2,L,10
000000000020000002000000100001010200201120,1,W,11
000000000020000002000010100001010200201120,2,L,12
000000000020000202000010100001010200201120,1,W,13
000000000020000202000010100001010200211120,2,L,14
000000000020000202000010100001210200211120,1,W,15
000000000020000202000010101001210200211120,2,L,16
000000000020000202000012101001210200211120,1,W,17
000000000020000212000012101001210200211120,2,L,18
000000002020000212000012101001210200211120,1,W,19
000000002120000212000012101001210200211120,2,L,20
000000002120000212000012101001212200211120,1,W,21
000000002120000212000012111001212200211120,2,L,22
000000002120000212020012111001212200211120,1,W,23
000000002120000212120012111001212200211120,2,L,24
000000002122000212120012111001212200211120,1,W,25
000100002122000212120012111001212200211120,2,L,26
000120002122000212120012111001212200211120,1,W,27
001120002122000212120012111001212200211120,2,L,28
001120002122000212120012111001212200211122,1,W,29
011120002122000212120012111001212200211122,2,L,30
011120002122000212120012111001212202211122,1,W,31
011120002122000212120012111011212202211122,2,L,32
011120002122200212120012111011212202211122,1,W,33
011121002122200212120012111011212202211122,2,L,34
011121002122200212120212111011212202211122,1,W,35
011121002122201212120212111011212202211122,2,L,36
011121022122201212120212111011212202211122,1,W,37
000000000000000000000000000000000000000000,1,W,38
000000000000000000000000000000000000001000,2,L,39
000000000000000000000000000000000000001200,1,W,40
000000000000000000000000000000010000001200,2,L,41
000000000000000000000000200000010000001200,1,W,42
000000000000000000000000200000010000011200,2,L,43
000000000000000000000000200000210000011200,1,W,44
000000000000000000000000200000210000111200,2,L,45
000000000000000000000000200000210002111200,1,W,46
000000000000000001000000200000210002111200,2,L,47
000000000000000001000000200020210002111200,1,W,48
000000000000000001000000200020210002111210,2,L,49
000000000000000001000000200022210002111210,1,W,50
000000000010000001000000200022210002111210,2,L,51
000000000010000001000200200022210002111210,1,W,52
000000000010001001000200200022210002111210,2,L,53
000000000010001001000220200022210002111210,1,W,54
000000000010001001000221200022210002111210,2,L,55
000000000010001201000221200022210002111210,1,W,56
000000001010001201000221200022210002111210,2,L,57
000000021010001201000221200022210002111210,1,W,58
000000021010001201000221200022210102111210,2,L,59
000000021010001201000221202022210102111210,1,W,60
000000021010001201000221202022210102111211,2,L,61
000000021010001201000221202022210122111211,1,W,62
000000021010001201010221202022210122111211,2,L,63
000000021010201201010221202022210122111211,1,W,64
000000021010201201010221202122210122111211,2,L,65
000200021010201201010221202122210122111211,1,W,66
000200021010201201010221202122211122111211,2,L,67
000200021010201201012221202122211122111211,1,W,68
100200021010201201012221202122211122111211,2,L,69
100202021010201201012221202122211122111211,1,W,70
110202021010201201012221202122211122111211,2,L,71
110202021010201221012221202122211122111211,1,W,72
110202021110201221012221202122211122111211,2,L,73
110202021110201221012221222122211122111211,1,W,74
111202021110201221012221222122211122111211,2,L,75
111202021110201221212221222122211122111211,1,W,76
000000000000000000000000000000000000000000,1,L,77
000000000000000000000000000000000000000100,2,W,78
000000000000000000000000000000000000002100,1,L,79
000000000000000000000000000000000000102100,2,W,80
000000000000000000000000000000020000102100,1,L,81
000000000000000000000000000000020000112100,2,W,82
000000000000000000000000000000022000112100,1,L,83
000000000000000000000000000001022000112100,2,W,84
000000000000000000000000020001022000112100,1,L,85
000000000000000000000000120001022000112100,2,W,86
000000000000000000200000120001022000112100,1,L,87
000000000001000000200000120001022000112100,2,W,88
000000000001000000200000120001022000112102,1,L,89
000000000001000000200010120001022000112102,2,W,90
000000000001000200200010120001022000112102,1,L,91
000000000001000200200010120001022010112102,2,W,92
000000002001000200200010120001022010112102,1,L,93
000000002001000201200010120001022010112102,2,W,94
000000002021000201200010120001022010112102,1,L,95
000000002021000201200010120001022011112102,2,W,96
000200002021000201200010120001022011112102,1,L,97
000200002021000201200010120011022011112102,2,W,98
000200002021000201200010120011022011112122,1,L,99
000200002021000201200110120011022011112122,2,W,100
000200002021002201200110120011022011112122,1,L,101
000200002021002201200110120011022111112122,2,W,102
000200002021002201200110120011222111112122,1,L,103
000200002021002201200111120011222111112122,2,W,104
000220002021002201200111120011222111112122,1,L,105
000220012021002201200111120011222111112122,2,W,106
200220012021002201200111120011222111112122,1,L,107
210220012021002201200111120011222111112122,2,W,108
210220012021002221200111120011222111112122,1,L,109
210220012121002221200111120011222111112122,2,W,110
212220012121002221200111120011222111112122,1,L,111
212220012121002221200111121011222111112122,2,W,112
212220012121002221220111121011222111112122,1,L,113
212220012121102221220111121011222111112122,2,W,114
000000000000000000000000000000000000000000,1,L,115
000000000000000000000000000000000000001000,2,W,116
000000000000000000000000000000000000201000,1,L,117
000000000000000000000000000000000000201100,2,W,118
000000000000000000000000000000000000201120,1,L,119
000000000000000000000000000000001000201120,2,W,120
000000000000000000000000020000001000201120,1,L,121
000000000000000000000000020000001000211120,2,W,122
000000000000000000000000020000021000211120,1,L,123
000000000000000000100000020000021000211120,2,W,124
000000000000000000100000020002021000211120,1,L,125
000000000000000000100010020002021000211120,2,W,126
000000000000000000100010020002221000211120,1,L,127
000000000001000000100010020002221000211120,2,W,128
000000000001000000100010020002221200211120,1,L,129
000000000001000100100010020002221200211120,2,W,130
000000000001000100100010220002221200211120,1,L,131
000000001001000100100010220002221200211120,2,W,132
020000001001000100100010220002221200211120,1,L,133
020000001001000100100010221002221200211120,2,W,134
020000001001000102100010221002221200211120,1,L,135
020000001011000102100010221002221200211120,2,W,136
000000000000000000000000000000000000000000,1,W,137
000000000000000000000000000000000000001000,2,L,138
000000000000000000000000000000000000201000,1,W,139
000000000000000000000000000000000000201100,2,L,140
000000000000000000000000000000000000201120,1,W,141
000000000000000000000000000000001000201120,2,L,142
000000000000000000000000000000021000201120,1,W,143
000000000000000000000000010000021000201120,2,L,144
000000000000000000000000010002021000201120,1,W,145
000000000000000000000010010002021000201120,2,L,146
000000000000000000000010010002021200201120,1,W,147
000000000000000000000000000000000000000000,1,W,148
000000000000000000000000000000000000001000,2,L,149
000000000000000000000000000000000000201000,1,W,150
000000000000000000000000000000000000201100,2,L,151
000000000000000000000000000000000000201120,1,W,152
000000000000000000000000000000001000201120,2,L,153
000000000000000000000000000000021000201120,1,W,154
000000000000000000000000010000021000201120,2,L,155
000000000000000000000000010000021000221120,1,W,156
000000000000000000000000010001021000221120,2,L,157
000000000000000000000000210001021000221120,1,W,158
000000000000000000000000000000000000000000,1,L,159
000000000000000000000000000000000000001000,2,W,160
000000000000000000000000000000000000201000,1,L,161
000000000000000000000000000000000000201100,2,W,162
000000000000000000000000000000000000201120,1,L,163
000000000000000000000000000000000000201121,2,W,164
000000000000000000000000000000020000201121,1,L,165
000000000000000000000000000000020010201121,2,W,166
000000000000000000000000200000020010201121,1,L,167
000000000000000000000000200000021010201121,2,W,168
000000000000000000000000220000021010201121,1,L,169
000000000000000000100000220000021010201121,2,W,170
000000000000000000100000220000021010221121,1,L,171
000000000000000000100000220100021010221121,2,W,172
000000000000000000102000220100021010221121,1,L,173
000000000000000001102000220100021010221121,2,W,174
000000000000000001102000220100221010221121,1,L,175
000000000000000001102001220100221010221121,2,W,176
000000000000000001102001220102221010221121,1,L,177
000000000000000011102001220102221010221121,2,W,178
000000000020000011102001220102221010221121,1,L,179
000000000120000011102001220102221010221121,2,W,180
000000000120000011102001220102221012221121,1,L,181
000000000120000011102001220102221112221121,2,W,182
000000000000000000000000000000000000000000,1,D,183
000000000000000000000000000000000000001000,2,D,184
000000000000000000000000000000000000201000,1,D,185
000000000000000000000000000000000000201100,2,D,186
000000000000000000000000000000000000201120,1,D,187
000000000000000000000000000000001000201120,2,D,188
000000000000000000000000000000021000201120,1,D,189
000000000000000000000000010000021000201120,2,D,190
000000000000000000200000010000021000201120,1,D,191
000000000000000000200000010000021100201120,2,D,192
000000000000000000200000012000021100201120,1,D,193
000000000000000000200000012000021100201121,2,D,194
000000000000000000200000012000021120201121,1,D,195
000000000000000000210000012000021120201121,2,D,196
000000000000000000210000012002021120201121,1,D,197
000000000001000000210000012002021120201121,2,D,198
000000000001000000210020012002021120201121,1,D,199
000000000001000100210020012002021120201121,2,D,200
000000000001000100210020012002021120221121,1,D,201
000000001001000100210020012002021120221121,2,D,202
020000001001000100210020012002021120221121,1,D,203
020000001001000100210020112002021120221121,2,D,204
020000001001000102210020112002021120221121,1,D,205
