board,mark,label,move_num
000000000000000000000000000000000000000000,1,W,1
000000000000000000000000000000000000001000,2,L,2
000000000000000000000000000000000000201000,1,W,3
000000000000000000000000000000000000201100,2,L,4
000000000000000000000000000000000000201120,1,W,5
000000000000000000000000000000001000201120,2,L,6
000000000000000000000000000000021000201120,1,W,7
000000000000000000000000010000021000201120,2,L,8
000000000000000000200000010000021000201120,1,W,9
000000000000000000200000010000021100201120,2,L,10
000000000000000000200000210000021100201120,1,W,11
000000000000000001200000210000021100201120,2,L,12
000000000000000001200000210000021100201122,1,W,13
000000000000000001200000211000021100201122,2,L,14
000000000020000001200000211000021100201122,1,W,15
000000000021000001200000211000021100201122,2,L,16
000000000021000001200000211002021100201122,1,W,17
000000000021000001200000211002021110201122,2,L,18
000000000021000001200020211002021110201122,1,W,19
000000000021000101200020211002021110201122,2,L,20
000200000021000101200020211002021110201122,1,W,21
000210000021000101200020211002021110201122,2,L,22
000210000021000101220020211002021110201122,1,W,23
000210000021100101220020211002021110201122,2,L,24
000210000021100101220020211002021112201122,1,W,25
000210000021100101220020211012021112201122,2,L,26
000212000021100101220020211012021112201122,1,W,27
000212000021100101220120211012021112201122,2,L,28
000212002021100101220120211012021112201122,1,W,29
000212002021101101220120211012021112201122,2,L,30
000212002021101101220120211212021112201122,1,W,31
000212002021101101220120211212021112211122,2,L,32
000212022021101101220120211212021112211122,1,W,33
000000000000000000000000000000000000000000,1,W,34
000000000000000000000000000000000000001000,2,L,35
000000000000000000000000000000000000201000,1,W,36
000000000000000000000000000000000000201100,2,L,37
000000000000000000000000000000000000201120,1,W,38
000000000000000000000000000001000000201120,2,L,39
000000000000000000000000000001002000201120,1,W,40
000000000000000000000000010001002000201120,2,L,41
000000000000000000200000010001002000201120,1,W,42
000000000000000000200000010001002100201120,2,L,43
000000000000000000200000010001002100201122,1,W,44
000000000000000000200010010001002100201122,2,L,45
000000000000000200200010010001002100201122,1,W,46
000000000000000200200010011001002100201122,2,L,47
000000000000000200220010011001002100201122,1,W,48
000000000001000200220010011001002100201122,2,L,49
000000002001000200220010011001002100201122,1,W,50
000000002001100200220010011001002100201122,2,L,51
000020002001100200220010011001002100201122,1,W,52
000020002001100200220010011001002100211122,2,L,53
000020002001100200220010011001202100211122,1,W,54
000020002001100200220011011001202100211122,2,L,55
000020002001100200220011011001202102211122,1,W,56
000020002001100210220011011001202102211122,2,L,57
000020002201100210220011011001202102211122,1,W,58
000021002201100210220011011001202102211122,2,L,59
002021002201100210220011011001202102211122,1,W,60
012021002201100210220011011001202102211122,2,L,61
012021002201100210220011011021202102211122,1,W,62
012021002201100210220111011021202102211122,2,L,63
012021002201100210220111011021202122211122,1,W,64
012021002201101210220111011021202122211122,2,L,65
012021002201101210220111011221202122211122,1,W,66
012021002201101210221111011221202122211122,2,L,67
012021002201101210221111011221222122211122,1,W,68
000000000000000000000000000000000000000000,1,W,69
000000000000000000000000000000000000001000,2,L,70
000000000000000000000000000000000000201000,1,W,71
000000000000000000000000000000000000201100,2,L,72
000000000000000000000000000000002000201100,1,W,73
000000000000000000000000000000002000201110,2,L,74
000000000000000000000000000000002000221110,1,W,75
000000000000000000000000000000000000000000,1,L,76
000000000000000000000000000000000000000010,2,W,77
000000000000000000000000000000000000002010,1,L,78
000000000000000000000000000000000000012010,2,W,79
000000000000000000000000000000000002012010,1,L,80
000000000000000000000000000000000102012010,2,W,81
000000000000000000000000000000020102012010,1,L,82
000000000000000000000000001000020102012010,2,W,83
000000000000000000020000001000020102012010,1,L,84
000000000000100000020000001000020102012010,2,W,85
000000000000100000020000201000020102012010,1,L,86
000000000000100001020000201000020102012010,2,W,87
000000000000100001020000201020020102012010,1,L,88
000000000000100001020000201020020102012011,2,W,89
000000000000100001020200201020020102012011,1,L,90
000000000000101001020200201020020102012011,2,W,91
000000000020101001020200201020020102012011,1,L,92
000000000020101001020200201020020102012111,2,W,93
000000000020101001020200201020020102212111,1,L,94
000000000020101001020200201020120102212111,2,W,95
000000000020101001020202201020120102212111,1,L,96
000000010020101001020202201020120102212111,2,W,97
000000010020101021020202201020120102212111,1,L,98
000000010120101021020202201020120102212111,2,W,99
200000010120101021020202201020120102212111,1,L,100
200100010120101021020202201020120102212111,2,W,101
202100010120101021020202201020120102212111,1,L,102
202101010120101021020202201020120102212111,2,W,103
202101010120101021020202201020120122212111,1,L,104
202101010120101021020202201021120122212111,2,W,105
202101010120101021020222201021120122212111,1,L,106
202101010120101021020222201021121122212111,2,W,107
000000000000000000000000000000000000000000,1,W,108
000000000000000000000000000000000000001000,2,L,109
000000000000000000000000000000000000201000,1,W,110
000000000000000000000000000000000000201100,2,L,111
000000000000000000000000000000000000221100,1,W,112
000000000000000000000000000000000000221110,2,L,113
000000000000000000000000000000000002221110,1,W,114
000000000000000000000000000001000002221110,2,L,115
000000000000000000000000000001020002221110,1,W,116
000000000000000000000000000000000000000000,1,L,117
000000000000000000000000000000000000001000,2,W,118
000000000000000000000000000000020000001000,1,L,119
000000000000000000000000000000020000011000,2,W,120
000000000000000000000000000000020000011200,1,L,121
000000000000000000000000000000020001011200,2,W,122
000000000000000000000000000000020001211200,1,L,123
000000000000000000000000000000021001211200,2,W,124
000000000000000000000000200000021001211200,1,L,125
000000000000000000000000200010021001211200,2,W,126
000000000000000000000000200010221001211200,1,L,127
000000000000000001000000200010221001211200,2,W,128
000000000000000001000002200010221001211200,1,L,129
000000000000000001000102200010221001211200,2,W,130
000000000000002001000102200010221001211200,1,L,131
000000000010002001000102200010221001211200,2,W,132
000000000010002001000102200012221001211200,1,L,133
000100000010002001000102200012221001211200,2,W,134
000100020010002001000102200012221001211200,1,L,135
000100020010002011000102200012221001211200,2,W,136
200100020010002011000102200012221001211200,1,L,137
200100020010002011000112200012221001211200,2,W,138
000000000000000000000000000000000000000000,1,W,139
000000000000000000000000000000000000000001,2,L,140
000000000000000000000000000000000000002001,1,W,141
000000000000000000000000000000000000012001,2,L,142
000000000000000000000000000000000000012201,1,W,143
000000000000000000000000000000010000012201,2,L,144
000000000000000000000000000000210000012201,1,W,145
000000000000000000000000100000210000012201,2,L,146
000000000000000002000000100000210000012201,1,W,147
000000000000000002000000100000210010012201,2,L,148
000000000000000002000000100000210012012201,1,W,149
000000000000000002000000100000211012012201,2,L,150
000000000000000002000000120000211012012201,1,W,151
000000000000000002000000120100211012012201,2,L,152
000000000000000002002000120100211012012201,1,W,153
000000000000000002002000120110211012012201,2,L,154
000000000000000002202000120110211012012201,1,W,155
000000000000010002202000120110211012012201,2,L,156
000000000000010002202000120110211012012221,1,W,157
000000000000010002202000120110211112012221,2,L,158
000000000000010002202200120110211112012221,1,W,159
000000000000010002202200120110211112112221,2,L,160
000000000000012002202200120110211112112221,1,W,161
000000010000012002202200120110211112112221,2,L,162
200000010000012002202200120110211112112221,1,W,163
200000010000012002202200120111211112112221,2,L,164
200000010000012002202220120111211112112221,1,W,165
200000010000012102202220120111211112112221,2,L,166
200000012000012102202220120111211112112221,1,W,167
210000012000012102202220120111211112112221,2,L,168
210000012000012102202222120111211112112221,1,W,169
210000012000012112202222120111211112112221,2,L,170
210000012200012112202222120111211112112221,1,W,171
211000012200012112202222120111211112112221,2,L,172
211000012220012112202222120111211112112221,1,W,173
211100012220012112202222120111211112112221,2,L,174
211100212220012112202222120111211112112221,1,W,175
211100212221012112202222120111211112112221,2,L,176
211100212221012112202222122111211112112221,1,W,177
000000000000000000000000000000000000000000,1,L,178
000000000000000000000000000000000000000100,2,W,179
000000000000000000000000000000000000002100,1,L,180
000000000000000000000000000000000000102100,2,W,181
000000000000000000000000000000020000102100,1,L,182
000000000000000000000000100000020000102100,2,W,183
000000000000000002000000100000020000102100,1,L,184
000000000000000002000000100000021000102100,2,W,185
000000000000000002000000120000021000102100,1,L,186
000000000000000002100000120000021000102100,2,W,187
000000000000000002100000120002021000102100,1,L,188
000000000000000002100000120002021000102110,2,W,189
000000000000000002100000120002021200102110,1,L,190
000000000000000002100000120002021200102111,2,W,191
000000000002000002100000120002021200102111,1,L,192
000000000002000002100000120002021210102111,2,W,193
000000000002000002100000122002021210102111,1,L,194
000000000002000002110000122002021210102111,2,W,195
000000000002200002110000122002021210102111,1,L,196
000000000012200002110000122002021210102111,2,W,197
000020000012200002110000122002021210102111,1,L,198
000021000012200002110000122002021210102111,2,W,199
000021000012200002110020122002021210102111,1,L,200
000121000012200002110020122002021210102111,2,W,201
000121000012200002110020122202021210102111,1,L,202
000121000012200002111020122202021210102111,2,W,203
000121000012200202111020122202021210102111,1,L,204
000121001012200202111020122202021210102111,2,W,205
