board,mark,label,move_num
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000010000021000201120,2,D,8
000000000000000000200000010000021000201120,1,D,9
000000000000000000200000010000021100201120,2,D,10
000000000000000000200000012000021100201120,1,D,11
000000000000000000200000012000021100201121,2,D,12
000000000000000000200000012000021120201121,1,D,13
000000000000000000210000012000021120201121,2,D,14
000000000000000000210000012002021120201121,1,D,15
000000000000000000210000012102021120201121,2,D,16
000000000000000000210020012102021120201121,1,D,17
000000000000000100210020012102021120201121,2,D,18
000000000002000100210020012102021120201121,1,D,19
000000000002000100211020012102021120201121,2,D,20
000000000002020100211020012102021120201121,1,D,21
000000000002120100211020012102021120201121,2,D,22
000000002002120100211020012102021120201121,1,D,23
000010002002120100211020012102021120201121,2,D,24
000010002002120100211020012102021122201121,1,D,25
000010002002120100211020012112021122201121,2,D,26
000010002002120100211020012112021122221121,1,D,27
000010002002120100211120012112021122221121,2,D,28
000010202002120100211120012112021122221121,1,D,29
000010202002121100211120012112021122221121,2,D,30
000010222002121100211120012112021122221121,1,D,31
000011222002121100211120012112021122221121,2,D,32
020011222002121100211120012112021122221121,1,D,33
020011222002121100211120112112021122221121,2,D,34
020011222002121102211120112112021122221121,1,D,35
020011222012121102211120112112021122221121,2,D,36
020211222012121102211120112112021122221121,1,D,37
120211222012121102211120112112021122221121,2,D,38
120211222012121102211120112112221122221121,1,D,39
120211222012121102211121112112221122221121,2,D,40
120211222012121122211121112112221122221121,1,D,41
120211222112121122211121112112221122221121,2,D,42
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
