board,mark,label,move_num
000000000000000000000000000000000000000000,1,L,1
000000000000000000000000000000000000001000,2,W,2
000000000000000000000000000000020000001000,1,L,3
000000000000000000000000100000020000001000,2,W,4
000000000000000002000000100000020000001000,1,L,5
000000000000000002000000100000020000001010,2,W,6
000000000020000002000000100000020000001010,1,L,7
000100000020000002000000100000020000001010,2,W,8
000100000020000002000000100000020000001210,1,L,9
000100000020000002000000100000020000001211,2,W,10
000100000020000002000000100000022000001211,1,L,11
000100000020000002000000100000022010001211,2,W,12
000100000020000002000000120000022010001211,1,L,13
000100000020000002000000120100022010001211,2,W,14
000000000000000000000000000000000000000000,1,W,15
000000000000000000000000000000000000001000,2,L,16
000000000000000000000000000000020000001000,1,W,17
000000000000000000000000100000020000001000,2,L,18
000000000000000002000000100000020000001000,1,W,19
000000000010000002000000100000020000001000,2,L,20
000200000010000002000000100000020000001000,1,W,21
000200000010000002000000100000020000001100,2,L,22
000200000010000002000000100000022000001100,1,W,23
000200000010000002000000110000022000001100,2,L,24
000200000010000002200000110000022000001100,1,W,25
000200000011000002200000110000022000001100,2,L,26
000220000011000002200000110000022000001100,1,W,27
000220000011000002200000110000022000011100,2,L,28
000220000011000002200000110000022000011120,1,W,29
000220000011000002200000110000122000011120,2,L,30
000220000011000002200000110000122000011122,1,W,31
000220000011000002200000110000122100011122,2,L,32
000220000011000002200000112000122100011122,1,W,33
000220000011000002200001112000122100011122,2,L,34
000220000011000002220001112000122100011122,1,W,35
000000000000000000000000000000000000000000,1,L,36
000000000000000000000000000000000000001000,2,W,37
000000000000000000000000000000020000001000,1,L,38
000000000000000000000000100000020000001000,2,W,39
000000000000000002000000100000020000001000,1,L,40
000000000010000002000000100000020000001000,2,W,41
000200000010000002000000100000020000001000,1,L,42
000200000010000002000000100000020001001000,2,W,43
000200000010000002000000100000020001001200,1,L,44
000200000010000002000000100000020001011200,2,W,45
000200000010000002000000100000020001011220,1,L,46
000200000010000002000000100000021001011220,2,W,47
000200000010000002000000100000021201011220,1,L,48
000200000010000002000000110000021201011220,2,W,49
000200000010000002000000112000021201011220,1,L,50
000200000010000002100000112000021201011220,2,W,51
000000000000000000000000000000000000000000,1,L,52
000000000000000000000000000000000000001000,2,W,53
000000000000000000000000000000020000001000,1,L,54
000000000000000000000000100000020000001000,2,W,55
000000000000000002000000100000020000001000,1,L,56
000000000010000002000000100000020000001000,2,W,57
000200000010000002000000100000020000001000,1,L,58
000200000010000002000000100000020000011000,2,W,59
000200000010000002000000100000020000211000,1,L,60
000200000010000002000000100000020000211100,2,W,61
000200000010000002000000100000022000211100,1,L,62
000200000010000002000000100000022001211100,2,W,63
000200000010000002000000120000022001211100,1,L,64
000200000010000002100000120000022001211100,2,W,65
000200000010000002100000120020022001211100,1,L,66
000200000011000002100000120020022001211100,2,W,67
000220000011000002100000120020022001211100,1,L,68
000220000011000002100000120020122001211100,2,W,69
000220000011000002100000120020122001211120,1,L,70
000220000011000002100000120020122101211120,2,W,71
000220000011000002100000122020122101211120,1,L,72
000220000011000002100000122021122101211120,2,W,73
000220000011000002120000122021122101211120,1,L,74
000220000011000002120001122021122101211120,2,W,75
000220000011200002120001122021122101211120,1,L,76
000220000011200002120011122021122101211120,2,W,77
000000000000000000000000000000000000000000,1,L,78
000000000000000000000000000000000000001000,2,W,79
000000000000000000000000000000020000001000,1,L,80
000000000000000000000000000000020000001010,2,W,81
000000000000000000000000200000020000001010,1,L,82
000000000000000001000000200000020000001010,2,W,83
000000000000000001000000200000020000001210,1,L,84
000000000000000001000000200000020000001211,2,W,85
000000000000000001000000200000020020001211,1,L,86
000000000000000001000000200100020020001211,2,W,87
000000000000000001002000200100020020001211,1,L,88
000000000000010001002000200100020020001211,2,W,89
000000200000010001002000200100020020001211,1,L,90
000000200010010001002000200100020020001211,2,W,91
000200200010010001002000200100020020001211,1,L,92
000200200010010001002000200100020020011211,2,W,93
000200200010010001002000200100220020011211,1,L,94
000200200010010001002000200100221020011211,2,W,95
000200200010010001002000200100221220011211,1,L,96
000200200010010001002000210100221220011211,2,W,97
000200200010010001002002210100221220011211,1,L,98
000200200010010001102002210100221220011211,2,W,99
000200200010010001102002212100221220011211,1,L,100
000200200010010001102002212100221221011211,2,W,101
000200200010010001122002212100221221011211,1,L,102
000200200010110001122002212100221221011211,2,W,103
000200200010110001122002212120221221011211,1,L,104
000201200010110001122002212120221221011211,2,W,105
000201200012110001122002212120221221011211,1,L,106
000211200012110001122002212120221221011211,2,W,107
000211200012110021122002212120221221011211,1,L,108
000211200112110021122002212120221221011211,2,W,109
000211200112110021122002212120221221211211,1,L,110
000211200112110021122002212121221221211211,2,W,111
002211200112110021122002212121221221211211,1,L,112
002211200112110021122012212121221221211211,2,W,113
000000000000000000000000000000000000000000,1,W,114
000000000000000000000000000000000000001000,2,L,115
000000000000000000000000000000020000001000,1,W,116
000000000000000000000000100000020000001000,2,L,117
000000000000000002000000100000020000001000,1,W,118
000000000010000002000000100000020000001000,2,L,119
000200000010000002000000100000020000001000,1,W,120
000200000010000002000000100000020000001100,2,L,121
000200000010000002000000100000022000001100,1,W,122
000200000010000002000000110000022000001100,2,L,123
000200000010000002200000110000022000001100,1,W,124
000200000011000002200000110000022000001100,2,L,125
000220000011000002200000110000022000001100,1,W,126
000220000011000002200000110000022000011100,2,L,127
000220000011000002200000110000022000011120,1,W,128
000220000011000002200000110000122000011120,2,L,129
000220000011000002200000110000122200011120,1,W,130
000220000011000002200001110000122200011120,2,L,131
000220000011000002200001112000122200011120,1,W,132
000000000000000000000000000000000000000000,1,W,133
000000000000000000000000000000000000001000,2,L,134
000000000000000000000000000000020000001000,1,W,135
000000000000000000000000100000020000001000,2,L,136
000000000000000002000000100000020000001000,1,W,137
000000000010000002000000100000020000001000,2,L,138
000200000010000002000000100000020000001000,1,W,139
000200000010000002000000100000020000001100,2,L,140
000200000010000002000000100000022000001100,1,W,141
000200000010000002000000110000022000001100,2,L,142
000200000010000002200000110000022000001100,1,W,143
000200000011000002200000110000022000001100,2,L,144
000220000011000002200000110000022000001100,1,W,145
000220000011000002200000110000022000011100,2,L,146
000220000011000002200000110000022000011120,1,W,147
000220000011000002200000110000122000011120,2,L,148
000220000011000002200000110000122200011120,1,W,149
000220000011000002200001110000122200011120,2,L,150
000220000011000002200001112000122200011120,1,W,151
000000000000000000000000000000000000000000,1,W,152
000000000000000000000000000000000000001000,2,L,153
000000000000000000000000000000020000001000,1,W,154
000000000000000000000000100000020000001000,2,L,155
000000000000000002000000100000020000001000,1,W,156
000000000010000002000000100000020000001000,2,L,157
000200000010000002000000100000020000001000,1,W,158
000200000010000002000000100000020000001100,2,L,159
000200000010000002000000100000020000021100,1,W,160
000200000010000002000000100000021000021100,2,L,161
000200000010000002000000100000021000021120,1,W,162
000200000010000002000000110000021000021120,2,L,163
000200000010000002000000110000021200021120,1,W,164
000000000000000000000000000000000000000000,1,L,165
000000000000000000000000000000000000001000,2,W,166
000000000000000000000000000000020000001000,1,L,167
000000000000000000000000000000020000001100,2,W,168
000000000000000000000000200000020000001100,1,L,169
000000000000000000000000200000020000011100,2,W,170
000000000000000000000000200000020000011120,1,L,171
000000000000000000000000200000020100011120,2,W,172
000000000000000000000000202000020100011120,1,L,173
000000000000000000010000202000020100011120,2,W,174
000000000000200000010000202000020100011120,1,L,175
000001000000200000010000202000020100011120,2,W,176
